INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
07,0.956018,0.015436,0.028546,0.004065,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,1
78,0.923008,0.051671,0.025321,0.014347,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,0
79,0.923859,0.055741,0.0204,0.004099,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
80,0.667409,0.314762,0.017829,0.003041,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,0
81,0.857167,0.122314,0.020519,0.003881,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,1
82,0.977746,0.009179,0.013076,0.003543,Tuile,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,1
83,0.948707,0.001273,0.004268,0.008253,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
84,0.995498,0.001144,0.003359,0.007127,Tuile,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,1
85,0.95929,0.024817,0.015893,0.007148,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
86,0.850738,0.1206,0.028662,0.004007,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,0
87,0.858228,0.116155,0.025616,0.003251,Tuile,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,0
08,0.0,0.0,0.0,0.0,Tuile,FRANCE_PIERRE_MEULIERE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,0
88,0.973717,0.006448,0.019835,0.002617,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,1
89,0.937356,0.048975,0.013669,0.003124,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
90,0.95961,0.010412,0.029977,0.007408,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
91,0.910289,0.067331,0.02238,0.017486,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
92,0.691919,0.108023,0.200058,0.063496,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
93,0.87074,0.029672,0.099589,0.062586,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
94,0.852546,0.056686,0.090768,0.060036,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
95,0.918419,0.054404,0.027177,0.017743,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
