INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
"68",0.940514672131147,0.017267734972678,0.042217606557377,0.006337068306011,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,"1"
"69",0.949018176029963,0.006743602996255,0.044238228464419,0.013875846441948,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"70",0.546885215213358,0.002758953617811,0.018073810760668,0.001665076066790,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"71",0.948142408849558,0.033909005309734,0.017948598230088,0.004015775221239,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"72",0.698488940677966,0.276722889830508,0.024788175141243,0.004721689265537,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"73",0.521099347985348,0.271630732600733,0.207269897435897,0.004213648351648,Tuile,FRANCE_BOIS_ARDOISE,FRANCE_ARDOISE,FRANCE_BOIS_TUILE,FRANCE_TUILE,"0"
"74",0.766695709677419,0.124468394265233,0.108835917562724,0.006700756272401,Tuile,FRANCE_BOIS_TUILE,FRANCE_TUILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,"1"
"75",0.140069000000000,0.255267000000000,0.604664000000000,0.141087000000000,Zinc,FRANCE_PIERRE_CALCAIRE_ZINC,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_ZINC,FRANCE_ZINC,"1"
"76",0.482313581920904,0.493914038135593,0.023772375706215,0.005310389830508,Ardoise,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,"1"
"77",0.962594382642998,0.023332362919132,0.014073252465483,0.007753566074951,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"07",0.956017877611940,0.015436325373134,0.028545805970149,0.004065313432836,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"1"
"78",0.923007725868726,0.051671003861004,0.025321204633205,0.014346509652510,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"79",0.923859269531250,0.055740796875000,0.020399910156250,0.004099332031250,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"80",0.667408851036270,0.314762199481865,0.017828950777202,0.003040937823834,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"0"
"81",0.857167140127389,0.122314108280255,0.020518799363057,0.003881159235669,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"1"
"82",0.977745589743590,0.009178682051282,0.013075758974359,0.003542825641026,Tuile,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,"1"
"83",0.948707366013072,0.001273039215686,0.004267921568627,0.008253104575163,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"84",0.995497701986755,0.001143529801325,0.003358827814570,0.007126741721854,Tuile,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,"1"
"85",0.959290128404669,0.024817019455253,0.015892856031128,0.007147607003891,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"86",0.850737672932331,0.120600169172932,0.028662154135338,0.004006830827068,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"0"
"87",0.858228487179487,0.116155174358974,0.025616358974359,0.003250882051282,Tuile,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,"0"
"08",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Tuile,FRANCE_PIERRE_MEULIERE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,"0"
"88",0.973716554240631,0.006448167652860,0.019835287968442,0.002617041420118,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"1"
"89",0.937356040189126,0.048975052009456,0.013668888888889,0.003123758865248,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"90",0.959610009900990,0.010412475247525,0.029977465346535,0.007407673267327,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"91",0.910289164948454,0.067331247422680,0.022379582474227,0.017486489690722,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"92",0.691919333333333,0.108022833333333,0.200058055555556,0.063496111111111,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"93",0.870739725000000,0.029671750000000,0.099588525000000,0.062586500000000,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"94",0.852545787234043,0.056685680851064,0.090768489361702,0.060036042553191,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"95",0.918418717391305,0.054404500000000,0.027176782608696,0.017743114130435,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
